wordSet,word,wordAccent,wordAccentStep,carrier,carrierAccent,carrierAccentStep,textOption_0,textOption_1,option_0,option_1,sound_0,sound_1
ara_approx,Ngā rapu,A,1,deta,A,1,Yes,No,Yes,No,nga_rapu_approx_dur_1,
ara_approx,Ngā rapu,A,1,deta,A,1,Yes,No,Yes,No,nga_rapu_approx_dur_2,
ara_approx,Ngā rapu,A,1,deta,A,1,Yes,No,Yes,No,nga_rapu_approx_dur_3,
ara_approx,Ngā rapu,A,1,deta,A,1,Yes,No,Yes,No,nga_rapu_approx_dur_4,
ara_approx,Ngā rapu,A,1,deta,A,1,Yes,No,Yes,No,nga_rapu_approx_dur_5,
ara_approx,Ngā rapu,A,1,deta,A,1,Yes,No,Yes,No,nga_rapu_approx_dur_6,
ara_approx,Ngā rapu,A,1,deta,A,1,Yes,No,Yes,No,nga_rapu_approx_dur_7,
ara_approx,Ngā rapu,A,1,deta,A,1,Yes,No,Yes,No,nga_rapu_approx_dur_8,
ara_approx,Ngā rapu,A,1,deta,A,1,Yes,No,Yes,No,nga_rapu_approx_dur_9,
ara_approx,Ngā rapu,A,1,deta,A,1,Yes,No,Yes,No,nga_rapu_approx_dur_10,
ara_approx,Ngā rapu,A,1,deta,A,1,Yes,No,Yes,No,nga_rapu_approx_dur_11,
iri_approx,I ripo,A,1,deta,A,1,Yes,No,Yes,No,i_ripo_approx_dur_1,
iri_approx,I ripo,A,1,deta,A,1,Yes,No,Yes,No,i_ripo_approx_dur_2,
iri_approx,I ripo,A,1,deta,A,1,Yes,No,Yes,No,i_ripo_approx_dur_3,
iri_approx,I ripo,A,1,deta,A,1,Yes,No,Yes,No,i_ripo_approx_dur_4,
iri_approx,I ripo,A,1,deta,A,1,Yes,No,Yes,No,i_ripo_approx_dur_5,
iri_approx,I ripo,A,1,deta,A,1,Yes,No,Yes,No,i_ripo_approx_dur_6,
iri_approx,I ripo,A,1,deta,A,1,Yes,No,Yes,No,i_ripo_approx_dur_7,
iri_approx,I ripo,A,1,deta,A,1,Yes,No,Yes,No,i_ripo_approx_dur_8,
iri_approx,I ripo,A,1,deta,A,1,Yes,No,Yes,No,i_ripo_approx_dur_9,
iri_approx,I ripo,A,1,deta,A,1,Yes,No,Yes,No,i_ripo_approx_dur_10,
iri_approx,I ripo,A,1,deta,A,1,Yes,No,Yes,No,i_ripo_approx_dur_11,
ara_approx_tap,Ka para,A,1,deta,A,1,Yes,No,Yes,No,ka_para_approx_tap_dur_1,
ara_approx_tap,Ka para,A,1,deta,A,1,Yes,No,Yes,No,ka_para_approx_tap_dur_2,
ara_approx_tap,Ka para,A,1,deta,A,1,Yes,No,Yes,No,ka_para_approx_tap_dur_3,
ara_approx_tap,Ka para,A,1,deta,A,1,Yes,No,Yes,No,ka_para_approx_tap_dur_4,
ara_approx_tap,Ka para,A,1,deta,A,1,Yes,No,Yes,No,ka_para_approx_tap_dur_5,
ara_approx_tap,Ka para,A,1,deta,A,1,Yes,No,Yes,No,ka_para_approx_tap_dur_6,
ara_approx_tap,Ka para,A,1,deta,A,1,Yes,No,Yes,No,ka_para_approx_tap_dur_7,
ara_approx_tap,Ka para,A,1,deta,A,1,Yes,No,Yes,No,ka_para_approx_tap_dur_8,
ara_approx_tap,Ka para,A,1,deta,A,1,Yes,No,Yes,No,ka_para_approx_tap_dur_9,
ara_approx_tap,Ka para,A,1,deta,A,1,Yes,No,Yes,No,ka_para_approx_tap_dur_10,
ara_approx_tap,Ka para,A,1,deta,A,1,Yes,No,Yes,No,ka_para_approx_tap_dur_11,
iri_approx_tap,Ka piri,A,1,deta,A,1,Yes,No,Yes,No,ka_piri_approx_tap_dur_1,
iri_approx_tap,Ka piri,A,1,deta,A,1,Yes,No,Yes,No,ka_piri_approx_tap_dur_2,
iri_approx_tap,Ka piri,A,1,deta,A,1,Yes,No,Yes,No,ka_piri_approx_tap_dur_3,
iri_approx_tap,Ka piri,A,1,deta,A,1,Yes,No,Yes,No,ka_piri_approx_tap_dur_4,
iri_approx_tap,Ka piri,A,1,deta,A,1,Yes,No,Yes,No,ka_piri_approx_tap_dur_5,
iri_approx_tap,Ka piri,A,1,deta,A,1,Yes,No,Yes,No,ka_piri_approx_tap_dur_6,
iri_approx_tap,Ka piri,A,1,deta,A,1,Yes,No,Yes,No,ka_piri_approx_tap_dur_7,
iri_approx_tap,Ka piri,A,1,deta,A,1,Yes,No,Yes,No,ka_piri_approx_tap_dur_8,
iri_approx_tap,Ka piri,A,1,deta,A,1,Yes,No,Yes,No,ka_piri_approx_tap_dur_9,
iri_approx_tap,Ka piri,A,1,deta,A,1,Yes,No,Yes,No,ka_piri_approx_tap_dur_10,
iri_approx_tap,Ka piri,A,1,deta,A,1,Yes,No,Yes,No,ka_piri_approx_tap_dur_11,
